Model,Category,Retail($),Dealer($),Engine(L),Cylinders,Horsepower,CityMPG,HighwayMPG,Weight(lb),Wheelbase(in),Length(in),Width(in)
Acura 3.5 RL,sedan,43755,39014,3.5,6,225,18,24,3880,115,197,72
Acura 3.5 RL Navigation,sedan,46100,41100,3.5,6,225,18,24,3893,115,197,72
Acura MDX,suv,36945,33337,3.5,6,265,17,23,4451,106,189,77
Acura NSX S,sports,89765,79978,3.2,6,290,17,24,3153,100,174,71
Acura RSX,sedan,23820,21761,2.0,4,200,24,31,2778,101,172,68
Acura TL,sedan,33195,30299,3.2,6,270,20,28,3575,108,186,72
Acura TSX,sedan,26990,24647,2.4,4,200,22,29,3230,105,183,69
Audi A4 1.8T,sedan,25940,23508,1.8,4,170,22,31,3252,104,179,70
Audi A4 1.8T convertible,sedan,35940,32506,1.8,4,170,23,30,3638,105,180,70
Audi A4 3.0 convertible,sedan,42490,38325,3.0,6,220,20,27,3814,105,180,70
Audi A4 3.0,sedan,31840,28846,3.0,6,220,20,28,3462,104,179,70
Audi A4 3.0 Quattro manual,sedan,33430,30366,3.0,6,220,17,26,3583,104,179,70
Audi A4 3.0 Quattro auto,sedan,34480,31388,3.0,6,220,18,25,3627,104,179,70
Audi A4 3.0 Quattro convertible,sedan,44240,40075,3.0,6,220,18,25,4013,105,180,70
Audi A6 2.7 Turbo Quattro four-door,sedan,42840,38840,2.7,6,250,18,25,3836,109,192,71
Audi A6 3.0,sedan,36640,33129,3.0,6,220,20,27,3561,109,192,71
Audi A6 3.0 Avant Quattro,wagon,40840,37060,3.0,6,220,18,25,4035,109,192,71
Audi A6 3.0 Quattro,sedan,39640,35992,3.0,6,220,18,25,3880,109,192,71
Audi A6 4.2 Quattro,sedan,49690,44936,4.2,8,300,17,24,4024,109,193,71
Audi S4 Avant Quattro,wagon,49090,44446,4.2,8,340,15,21,3936,104,179,70
Audi S4 Quattro,sedan,48040,43556,4.2,8,340,14,20,3825,104,179,70
Audi RS 6,sports,84600,76417,4.2,8,450,15,22,4024,109,191,78
Audi TT 1.8,sports,35940,32512,1.8,4,180,20,28,3131,95,159,73
Audi TT 1.8 Quattro,sports,37390,33891,1.8,4,225,20,28,2921,96,159,73
Audi TT 3.2,sports,40590,36739,3.2,6,250,21,29,3351,96,159,73
BMW 325i,sedan,28495,26155,2.5,6,184,20,29,3219,107,176,69
BMW 325Ci,sedan,30795,28245,2.5,6,184,20,29,3197,107,177,69
BMW 325Ci convertible,sedan,37995,34800,2.5,6,184,19,27,3560,107,177,69
BMW 325xi,sedan,30245,27745,2.5,6,184,19,27,3461,107,176,69
BMW 325xi Sport,wagon,32845,30110,2.5,6,184,19,26,3594,107,176,69
BMW 330Ci,sedan,36995,33890,3.0,6,225,20,30,3285,107,176,69
BMW 330Ci convertible,sedan,44295,40530,3.0,6,225,19,28,3616,107,177,69
BMW 330i,sedan,35495,32525,3.0,6,225,20,30,3285,107,176,69
BMW 330xi,sedan,37245,34115,3.0,6,225,20,29,3483,107,176,69
BMW 525i four-door,sedan,39995,36620,2.5,6,184,19,28,3428,114,191,73
BMW 530i four-door,sedan,44995,41170,3.0,6,225,20,30,3472,114,191,73
BMW 545iA four-door,sedan,54995,50270,4.4,8,325,18,26,3814,114,191,73
BMW 745i four-door,sedan,69195,63190,4.4,8,325,18,26,4376,118,198,75
BMW M3,sports,48195,44170,3.2,6,333,16,24,3415,108,177,70
BMW M3 convertible,sports,56595,51815,3.2,6,333,16,23,3781,108,177,70
BMW X3 3.0i,suv,37000,33873,3.0,6,225,16,23,4023,110,180,73
BMW X5 4.4i,suv,52195,47720,4.4,8,325,16,22,4824,111,184,74
BMW Z4 convertible 2.5i two-door,sports,33895,31065,2.5,6,184,20,28,2932,98,161,70
BMW Z4 convertible 3.0i two-door,sports,41045,37575,3.0,6,225,21,29,2998,98,161,70
Buick Century Custom,sedan,22180,20351,3.1,6,175,20,30,3353,109,195,73
Buick LeSabre Custom four-door,sedan,26470,24282,3.8,6,205,20,29,3567,112,200,74
Buick LeSabre Limited,sedan,32245,29566,3.8,6,205,20,29,3591,112,200,74
Buick Park Avenue,sedan,35545,32244,3.8,6,205,20,29,3778,114,207,75
Buick Park Avenue Ultra,sedan,40720,36927,3.8,6,240,18,28,3909,114,207,75
Buick Rainier,suv,37895,34357,4.2,6,275,15,21,4600,113,193,75
Buick Regal GS,sedan,28345,26047,3.8,6,240,18,28,3536,109,196,73
Buick Regal LS,sedan,24895,22835,3.8,6,200,20,30,3461,109,196,73
Buick Rendezvous CX,suv,26545,24085,3.4,6,185,19,26,4024,112,187,74
Cadillac CTS VVT,sedan,30835,28575,3.6,6,255,18,25,3694,113,190,71
Cadillac Deville,sedan,45445,41650,4.6,8,275,18,26,3984,115,207,74
Cadillac Deville DTS,sedan,50595,46362,4.6,8,300,18,26,4044,115,207,74
Cadillac Escaladet,suv,52795,48377,5.3,8,295,14,18,5367,116,199,79
Cadillac SRX V8,suv,46995,43523,4.6,8,320,16,21,4302,116,195,73
Cadillac XLR,sports,76200,70546,4.6,8,320,17,25,3647,106,178,72
Chevrolet Aveo,sedan,11690,10965,1.6,4,103,28,34,2370,98,167,66
Chevrolet Astro,minivan,26395,23954,4.3,6,190,14,17,4605,111,190,78
Chevrolet Aveo LS,sedan,12585,11802,1.6,4,103,28,34,2348,98,153,66
Chevrolet Cavalier two-door,sedan,14610,13697,2.2,4,140,26,37,2617,104,183,69
Chevrolet Cavalier four-door,sedan,14810,13884,2.2,4,140,26,37,2676,104,183,68
Chevrolet Cavalier LS,sedan,16385,15357,2.2,4,140,26,37,2617,104,183,69
Chevrolet Corvette,sports,44535,39068,5.7,8,350,18,25,3246,105,180,74
Chevrolet Corvette convertible,sports,51535,45193,5.7,8,350,18,25,3248,105,180,74
Chevrolet Impala,sedan,21900,20095,3.4,6,180,21,32,3465,111,200,73
Chevrolet Impala LS,sedan,25000,22931,3.8,6,200,20,30,3476,111,200,73
Chevrolet Impala SS,sedan,27995,25672,3.8,6,240,18,28,3606,111,200,73
Chevrolet Malibu,sedan,18995,17434,2.2,4,145,24,34,3174,106,188,70
